#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,Win Shares
59,JJ Redick,847,25.9,12.9,4.3,9.7,44.7,2.1,5,41.3,2.2,2.5,89,0.2,1.8,2,2,0.5,0.1,1.1,55.3,60,59.1
60,Wilson Chandler,641,30.5,12.9,5,11.2,44.4,1.3,3.8,34.3,1.6,2.1,76.8,1.2,4.2,5.3,1.8,0.7,0.6,1.4,50.2,53,28.3
61,Reggie Jackson,532,25.2,12.9,4.8,11.2,42.8,1.1,3.4,33.2,2.1,2.5,85.9,0.5,2.4,3,4.4,0.7,0.1,1.9,47.9,52.4,28.3
62,Chandler Parsons,435,30.3,12.8,4.9,10.6,46.2,1.6,4.2,37.3,1.4,2,71.3,0.8,3.7,4.5,2.8,0.9,0.3,1.5,53.7,55.8,29
63,Jeff Teague,719,27.7,12.7,4.5,10.1,44.6,0.9,2.5,35.5,2.8,3.3,84.2,0.3,2.1,2.5,5.8,1.2,0.3,2.3,49,54.9,49
64,Serge Ibaka,761,28.7,12.4,5.1,10,51.4,0.6,1.7,35.6,1.5,1.9,76.2,2.2,5.1,7.3,0.7,0.4,2.1,1.3,54.5,57,64.4
65,Ryan Anderson,649,25.8,12.3,4.2,10.1,42.2,2,5.4,38,1.8,2.1,85.4,1.9,3.3,5.3,0.9,0.5,0.3,0.9,52.3,56.1,46.7
66,Andre Iguodala,"1,108",33.4,12.1,4.4,9.4,46.6,0.9,2.7,33.3,2.5,3.5,71,0.9,4.1,5.1,4.4,1.5,0.5,1.9,51.3,55.5,96.4
67,Jonas Valanciunas,500,25.1,12.1,4.8,8.5,55.7,0.1,0.3,34.9,2.5,3.1,78.8,2.6,6,8.5,0.8,0.4,1,1.5,56.3,60.9,45.8
68,Avery Bradley,532,28.6,12,4.8,11.1,43.6,1.3,3.6,36.3,1,1.3,77.8,0.7,2.3,3,1.8,1,0.2,1.4,49.5,51.4,15.2
69,Enes Kanter,586,22.2,11.9,4.9,9,54.1,0.1,0.2,29.2,2.1,2.7,77.8,2.9,4.7,7.6,0.8,0.4,0.4,1.6,54.5,58.5,39.9
70,Nicolas Batum,768,31.6,11.8,4.2,9.6,43.5,1.6,4.5,35.8,1.8,2.1,84.1,1.1,4.2,5.3,3.8,1,0.6,1.9,51.9,55.7,54.1
71,Kentavious Caldwell-Pope,481,29.5,11.8,4.2,10.3,41.2,1.7,4.8,34.4,1.6,2.1,79.8,0.7,2.6,3.3,1.6,1.1,0.2,1,49.2,52.6,24.1
72,Marcus Morris Sr.,557,26.7,11.7,4.3,10,43,1.4,3.9,36.3,1.7,2.2,75.1,1,3.7,4.6,1.5,0.7,0.3,1.2,50.1,53.2,
